WKT,Airport,Address,Lat/Long Estimated,Stamp Location,Region
"POINT (-119.10499 46.26457)",Tri-Cities Airport (Pasco) KPSC,4102 Stearman Ave., Pasco, WA 99301,46.26457, -119.10499,Stamp is available in phone booth on airport side of Bergstrom FBO.
,South Central
"POINT (-119.8 46.21)",Prosser S40,,46.21, -119.8,The Passport Stamp is on the white board in the Pilot's lounge.
,South Central
"POINT (-119.3041944 46.3056389)",Richland,1903 Terminal Dr., Richland, WA 99354 Open 8AM-5PM,46.3056389, -119.3041944,On picnic table by Sundance FBO,South Central
"POINT (-118.2840825 46.0925417)",Walla Walla Regional KALW,,46.0925417, -118.2840825,Gorge Aviation Services FBO at 199 W. Fairchild Avenue. 8 AM–5 PM daily.,South Central
"POINT (-118.4171778 46.0469392)",Martin Field (College Place) S95,,46.0469392, -118.4171778,Airport Office (NE end of airfield) during operating hours,two front door possibilities, enter the one with the Office sign above (the other one is locked). ,South Central
"POINT (-120.5440556 46.5681667)",Yakima YKM,,46.5681667, -120.5440556,At McAllister Fuel (East Side) and at McCormick Aviation FBO (East Location) in mailbox near fuel pumps,South Central
"POINT (-120.5306944 47.0330278)",Bowers Field Ellensburg (KELN),,47.0330278, -120.5306944,East of the fuel pumps, just off the pavement.,South Central
"POINT (-118.5366958 46.5497222)",Lower Monumental (W09),,46.5497222, -118.5366958,Stamp is located inside the guest book box mounted on the visitor information sign. Please visit https://wsdot.wa.gov/travel/aviation/airports-list/lower-monumental for more information and if the airport is open.
,South Central
"POINT (-121.1239789 46.6375514)",Tieton State Airport (4S6),,46.6375514, -121.1239789,Stamp is located inside the lock box mounted on the visitor information sign. Lock code is the airport CTAF.  Please visit https://wsdot.wa.gov/travel/aviation/airports-list/tieton-state for more information and if the airport is open.
,South Central
"POINT (-119.9703611 46.3270833)",Sunnyside (1S5),,46.3270833, -119.9703611,Pilot's Lounge: door codes is CTAF,South Central
"POINT (-120.8840354 47.1942428)",Cle Elum S93,,47.1942428, -120.8840354,Outside shack on south side of airport in mailbox,
"POINT (-121.1855317 47.2541839)",Easton (ESW),,47.2541839, -121.1855317,Stamp is located inside a blue lock box mounted on the visitor information sign.  The lock combo is the airport CTAF.  Please visit https://wsdot.wa.gov/travel/aviation/airports-list/easton-state for more information and to see if the airport is open.
,South Central
