WKT,Airport,Address (Pilot to Verify Data),Lat / Long (Estimated),Stamp Location,Region
"POINT (-122.3400278 48.7356111)",Floathaven (0W7),2890 Older Lane, Bellingham, WA 98229,48.7356111, -122.3400278,The mailbox is located on the hangar next to the office door that says “Floathaven Seaplane Base”
,Seaplane Base
"POINT (-122.2192889 47.4998217)",Wiley Post (W36),1055 S Grady Way, Renton, WA 98057,47.4998217, -122.2192889,Mailbox on dock,Seaplane Base
"POINT (-122.6420833 47.7209722)",Poulsbo - Olympic Region (83Q),18809 Front St NE, Poulsbo, WA 98370,47.7209722, -122.6420833,The mailbox is located adjacent to the office at the base of the ramp (that heads to shore).,Seaplane Base
"POINT (-122.2592931 47.75482)",Kenmore Lake Washington (S60),6321 NE 175th St, Kenmore, WA 98028
,47.75482, -122.2592931,Available weekdays 0630L-2000L and weekends 0730L-2000L at the check-in counter in the passenger terminal.  Ask for assistance at the counter.
,Seaplane Base
